> select a.first_name, a.last_name, b.department_name from employees a left join departments b on a.department_id = b.department_id;
+-------------+-------------+------------------+
| first_name  | last_name   | department_name  |
| IT Helpdesk          | 2004 Charade Rd       | Seattle             | United States of America | Americas    |
| Government Sales     | 2004 Charade Rd       | Seattle             | United States of America | Americas    |
| Retail Sales         | 2004 Charade Rd       | Seattle             | United States of America | Americas    |
| Recruiting           | 2004 Charade Rd       | Seattle             | United States of America | Americas    |
| Payroll              | 2004 Charade Rd       | Seattle             | United States of America | Americas    |
+----------------------+-----------------------+---------------------+--------------------------+-------------+
27 rows in set (0.0007 sec)


 select a.manager_id, b.first_name, b.last_name from departments a
                                         -> inner join employees b on a.manager_id = b.manager_id;
+------------+-------------+------------+
| manager_id | first_name  | last_name  |
+------------+-------------+------------+
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|          0 | Steven      | King       |
|        100 | Neena       | Kochhar    |
|        100 | Lex         | De Haan    |
|        100 | Den         | Raphaely   |
|        100 | Matthew     | Weiss      |
|        100 | Adam        | Fripp      |
|        100 | Payam       | Kaufling   |
|        100 | Shanta      | Vollman    |
|        100 | Kevin       | Mourgos    |
|        100 | John        | Russell    |
|        100 | Karen       | Partners   |
|        100 | Alberto     | Errazuriz  |
|        100 | Gerald      | Cambrault  |
|        100 | Eleni       | Zlotkey    |
|        100 | Michael     | Hartstein  |
|        103 | Bruce       | Ernst      |
|        103 | David       | Austin     |
|        103 | Valli       | Pataballa  |
|        103 | Diana       | Lorentz    |
|        108 | Daniel      | Faviet     |
|        108 | John        | Chen       |
|        108 | Ismael      | Sciarra    |
|        108 | Jose Manuel | Urman      |
|        108 | Luis        | Popp       |
|        114 | Alexander   | Khoo       |
|        114 | Shelli      | Baida      |
|        114 | Sigal       | Tobias     |
|        114 | Guy         | Himuro     |
|        114 | Karen       | Colmenares |
|        121 | Laura       | Bissot     |
|        121 | Mozhe       | Atkinson   |
|        121 | James       | Marlow     |
|        121 | TJ          | Olson      |
|        121 | Nandita     | Sarchand   |
|        121 | Alexis      | Bull       |
|        121 | Julia       | Dellinger  |
|        121 | Anthony     | Cabrio     |
|        145 | Peter       | Tucker     |
|        145 | David       | Bernstein  |
|        145 | Peter       | Hall       |
|        145 | Christopher | Olsen      |
|        145 | Nanette     | Cambrault  |
|        145 | Oliver      | Tuvault    |
|        201 | Pat         | Fay        |
|        205 | William     | Gietz      |
+------------+-------------+------------+
60 rows in set (0.0006 sec)



 MySQL  localhost:3306 ssl  practica  SQL > select a.manager_id, b.first_name, b.last_name from departments a right join employees b on a.manager_id = b.manager_id;
+------------+-------------+-------------+
| manager_id | first_name  | last_name   |
+------------+-------------+-------------+
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|          0 | Steven      | King        |
|        100 | Neena       | Kochhar     |
|        100 | Lex         | De Haan     |
|       NULL | Alexander   | Hunold      |
|        103 | Bruce       | Ernst       |
|        103 | David       | Austin      |
|        103 | Valli       | Pataballa   |
|        103 | Diana       | Lorentz     |
|       NULL | Nancy       | Greenberg   |
|        108 | Daniel      | Faviet      |
|        108 | John        | Chen        |
|        108 | Ismael      | Sciarra     |
|        108 | Jose Manuel | Urman       |
|        108 | Luis        | Popp        |
|        100 | Den         | Raphaely    |
|        114 | Alexander   | Khoo        |
|        114 | Shelli      | Baida       |
|        114 | Sigal       | Tobias      |
|        114 | Guy         | Himuro      |
|        114 | Karen       | Colmenares  |
|        100 | Matthew     | Weiss       |
|        100 | Adam        | Fripp       |
|        100 | Payam       | Kaufling    |
|        100 | Shanta      | Vollman     |
|        100 | Kevin       | Mourgos     |
|       NULL | Julia       | Nayer       |
|       NULL | Irene       | Mikkilineni |
|       NULL | James       | Landry      |
|       NULL | Steven      | Markle      |
|        121 | Laura       | Bissot      |
|        121 | Mozhe       | Atkinson    |
|        121 | James       | Marlow      |
|        121 | TJ          | Olson       |
|       NULL | Jason       | Mallin      |
|       NULL | Michael     | Rogers      |
|       NULL | Ki          | Gee         |
|       NULL | Hazel       | Philtanker  |
|       NULL | Renske      | Ladwig      |
|       NULL | Stephen     | Stiles      |
|       NULL | John        | Seo         |
|       NULL | Joshua      | Patel       |
|       NULL | Trenna      | Rajs        |
|       NULL | Curtis      | Davies      |
|       NULL | Randall     | Matos       |
|       NULL | Peter       | Vargas      |
|        100 | John        | Russell     |
|        100 | Karen       | Partners    |
|        100 | Alberto     | Errazuriz   |
|        100 | Gerald      | Cambrault   |
|        100 | Eleni       | Zlotkey     |
|        145 | Peter       | Tucker      |
|        145 | David       | Bernstein   |
|        145 | Peter       | Hall        |
|        145 | Christopher | Olsen       |
|        145 | Nanette     | Cambrault   |
|        145 | Oliver      | Tuvault     |
|       NULL | Janette     | King        |
|       NULL | Patrick     | Sully       |
|       NULL | Allan       | McEwen      |
|       NULL | Lindsey     | Smith       |
|       NULL | Louise      | Doran       |
|       NULL | Sarath      | Sewall      |
|       NULL | Clara       | Vishney     |
|       NULL | Danielle    | Greene      |
|       NULL | Mattea      | Marvins     |
|       NULL | David       | Lee         |
|       NULL | Sundar      | Ande        |
|       NULL | Amit        | Banda       |
|       NULL | Lisa        | Ozer        |
|       NULL | Harrison    | Bloom       |
|       NULL | Tayler      | Fox         |
|       NULL | William     | Smith       |
|       NULL | Elizabeth   | Bates       |
|       NULL | Sundita     | Kumar       |
|       NULL | Ellen       | Abel        |
|       NULL | Alyssa      | Hutton      |
|       NULL | Jonathon    | Taylor      |
|       NULL | Jack        | Livingston  |
|       NULL | Kimberely   | Grant       |
|       NULL | Charles     | Johnson     |
|       NULL | Winston     | Taylor      |
|       NULL | Jean        | Fleaur      |
|       NULL | Martha      | Sullivan    |
|       NULL | Girard      | Geoni       |
|        121 | Nandita     | Sarchand    |
|        121 | Alexis      | Bull        |
|        121 | Julia       | Dellinger   |
|        121 | Anthony     | Cabrio      |
|       NULL | Kelly       | Chung       |
|       NULL | Jennifer    | Dilly       |
|       NULL | Timothy     | Gates       |
|       NULL | Randall     | Perkins     |
|       NULL | Sarah       | Bell        |
|       NULL | Britney     | Everett     |
|       NULL | Samuel      | McCain      |
|       NULL | Vance       | Jones       |
|       NULL | Alana       | Walsh       |
|       NULL | Kevin       | Feeney      |
|       NULL | Donald      | OConnell    |
|       NULL | Douglas     | Grant       |
|       NULL | Jennifer    | Whalen      |
|        100 | Michael     | Hartstein   |
|        201 | Pat         | Fay         |
|       NULL | Susan       | Mavris      |
|       NULL | Hermann     | Baer        |
|       NULL | Shelley     | Higgins     |
|        205 | William     | Gietz       |
+------------+-------------+-------------+
122 rows in set (0.0007 sec)


 MySQL  localhost:3306 ssl  practica  SQL > select b.first_name, b.last_name, a.region_name from employees b
                                         -> left join departments c on c.department_id = b.department_id
                                         -> left join locations d on d.location_id = c.location_id
                                         -> left join countries e on e.country_id = d.country_id
                                         -> left join regions a on a.region_id = e.region_id;
+-------------+-------------+-------------+
| first_name  | last_name   | region_name |
+-------------+-------------+-------------+
| Steven      | King        | Americas    |
| Neena       | Kochhar     | Americas    |
| Lex         | De Haan     | Americas    |
| Alexander   | Hunold      | Americas    |
| Bruce       | Ernst       | Americas    |
| David       | Austin      | Americas    |
| Valli       | Pataballa   | Americas    |
| Diana       | Lorentz     | Americas    |
| Nancy       | Greenberg   | Americas    |
| Daniel      | Faviet      | Americas    |
| John        | Chen        | Americas    |
| Ismael      | Sciarra     | Americas    |
| Jose Manuel | Urman       | Americas    |
| Luis        | Popp        | Americas    |
| Den         | Raphaely    | Americas    |
| Alexander   | Khoo        | Americas    |
| Shelli      | Baida       | Americas    |
| Sigal       | Tobias      | Americas    |
| Guy         | Himuro      | Americas    |
| Karen       | Colmenares  | Americas    |
| Matthew     | Weiss       | Americas    |
| Adam        | Fripp       | Americas    |
| Payam       | Kaufling    | Americas    |
| Shanta      | Vollman     | Americas    |
